2026-02-08 15:33:04 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:33:04 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:33:04 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:33:04 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:33:04 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:33:04 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:34:07 | ALERT  | REMOVIDO      | /var/www/shell/readme.txt
2026-02-08 15:34:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/cron.log
2026-02-08 15:34:07 | INFO   | NOVO/ALTERADO | /var/www/shell/readme.txt
2026-02-08 15:34:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/cron.log
2026-02-08 15:34:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:34:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:34:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:34:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:34:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:34:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:35:07 | ALERT  | REMOVIDO      | /var/www/shell/readme.txt
2026-02-08 15:35:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/cron.log
2026-02-08 15:35:07 | INFO   | NOVO/ALTERADO | /var/www/shell/readme.txt
2026-02-08 15:35:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/cron.log
2026-02-08 15:35:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:35:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:35:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:35:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:35:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:35:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:36:07 | ALERT  | REMOVIDO      | /var/www/shell/readme.txt
2026-02-08 15:36:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/cron.log
2026-02-08 15:36:07 | INFO   | NOVO/ALTERADO | /var/www/shell/readme.txt
2026-02-08 15:36:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/cron.log
2026-02-08 15:36:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:36:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:36:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:36:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:36:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:36:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:37:06 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/cron.log
2026-02-08 15:37:06 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/cron.log
2026-02-08 15:37:06 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:37:06 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:37:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:37:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:37:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:37:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:38:06 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/cron.log
2026-02-08 15:38:06 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/cron.log
2026-02-08 15:38:06 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:38:06 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:38:06 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:38:06 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:38:06 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:38:06 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:39:04 | ALERT  | REMOVIDO      | /var/www/shell/readme.txt
2026-02-08 15:39:04 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/cron.log
2026-02-08 15:39:05 | INFO   | NOVO/ALTERADO | /var/www/shell/readme.txt
2026-02-08 15:39:05 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/cron.log
2026-02-08 15:39:05 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:39:05 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:39:05 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:39:05 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:39:05 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:39:05 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:40:06 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/cron.log
2026-02-08 15:40:06 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/cron.log
2026-02-08 15:40:06 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:40:06 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:40:06 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:40:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:40:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:40:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:41:06 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/cron.log
2026-02-08 15:41:06 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/cron.log
2026-02-08 15:41:06 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:41:06 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:41:06 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:41:06 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:41:06 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:41:06 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:42:07 | ALERT  | REMOVIDO      | /var/www/shell/readme.txt
2026-02-08 15:42:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/cron.log
2026-02-08 15:42:07 | INFO   | NOVO/ALTERADO | /var/www/shell/readme.txt
2026-02-08 15:42:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/cron.log
2026-02-08 15:42:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:42:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:42:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:42:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:42:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:42:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:43:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/cron.log
2026-02-08 15:43:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/cron.log
